experiment_id,graph_type,num_nodes,num_edges,density,m_parameter,p_parameter,grid_rows,grid_cols,num_agents,latency_type,seed,equilibrium_cost,optimal_cost,poa,nash_iterations,social_iterations,runtime,convergence_gap
grid_10x10_linear_100,grid,100,360,0.036364,,,10,10,100,linear,152,37651.782855,37657.200589,0.999856,300,300,0.3547,0.0063596262
grid_10x10_linear_500,grid,100,360,0.036364,,,10,10,500,linear,552,800853.995909,800907.852279,0.999933,300,300,0.3558,0.0062345878
grid_10x10_linear_1000,grid,100,360,0.036364,,,10,10,1000,linear,1052,3567522.492316,3567145.160782,1.000106,300,300,0.3519,0.0063747375
grid_10x10_linear_5000,grid,100,360,0.036364,,,10,10,5000,linear,5052,91070895.816327,91071515.490077,0.999993,300,300,0.3521,0.0063165146
grid_10x10_linear_10000,grid,100,360,0.036364,,,10,10,10000,linear,10052,339115611.272813,339099128.676841,1.000049,300,300,0.3578,0.0062089579
grid_10x10_bpr_100,grid,100,360,0.036364,,,10,10,100,bpr,152,6030.223182,5742.278406,1.050145,300,300,0.3809,0.0063563669
grid_10x10_bpr_500,grid,100,360,0.036364,,,10,10,500,bpr,552,26935.759105,25975.098765,1.036984,300,300,0.3856,0.0061575499
grid_10x10_bpr_1000,grid,100,360,0.036364,,,10,10,1000,bpr,1052,64197.761489,59515.422933,1.078674,300,300,0.3659,0.0055357652
grid_10x10_bpr_5000,grid,100,360,0.036364,,,10,10,5000,bpr,5052,281510.057978,264096.636265,1.065936,300,300,0.3792,0.0060665859
grid_10x10_bpr_10000,grid,100,360,0.036364,,,10,10,10000,bpr,10052,1015712.504916,993414.315876,1.022446,300,300,0.3839,0.0062879217
grid_30x30_linear_100,grid,900,3480,0.004301,,,30,30,100,linear,172,58175.140431,58258.538192,0.998568,300,300,3.5269,0.0066445183
grid_30x30_linear_500,grid,900,3480,0.004301,,,30,30,500,linear,572,1381826.165797,1383395.056124,0.998866,300,300,3.5388,0.0066255551
grid_30x30_linear_1000,grid,900,3480,0.004301,,,30,30,1000,linear,1072,5291721.403107,5295755.683814,0.999238,300,300,3.5274,0.006595777
grid_30x30_linear_5000,grid,900,3480,0.004301,,,30,30,5000,linear,5072,127308880.030056,127341513.224821,0.999744,300,300,3.6576,0.0065685174
grid_30x30_linear_10000,grid,900,3480,0.004301,,,30,30,10000,linear,10072,534983521.535637,534767864.405155,1.000403,300,300,3.7925,0.0065892584
grid_30x30_bpr_100,grid,900,3480,0.004301,,,30,30,100,bpr,172,15744.335602,15256.173998,1.031998,300,300,3.8849,0.0063824413
grid_30x30_bpr_500,grid,900,3480,0.004301,,,30,30,500,bpr,572,81142.419834,78696.159351,1.031085,300,300,3.8628,0.0062415508
grid_30x30_bpr_1000,grid,900,3480,0.004301,,,30,30,1000,bpr,1072,147667.100629,139799.354344,1.056279,300,300,3.7421,0.0062288099
grid_30x30_bpr_5000,grid,900,3480,0.004301,,,30,30,5000,bpr,5072,812404.119901,780797.981833,1.040479,300,300,3.824,0.0063092553
grid_30x30_bpr_10000,grid,900,3480,0.004301,,,30,30,10000,bpr,10072,1611862.887084,1540088.905816,1.046604,300,300,3.7934,0.0064083675
grid_50x50_linear_100,grid,2500,9800,0.001569,,,50,50,100,linear,192,71067.349103,71223.358834,0.99781,300,300,10.9149,0.0066111846
